Date,Shanghai Composite,ASX 200,BSE Sensex,Dow Jones,CAC 40,FTSE 100,DAX,S&P 500,Hang Seng,NASDAQ,Nikkei 225
2010-03-18,3046.089111328125,4863.10009765625,17519.259765625,10779.169921875,3938.179931640625,5642.60009765625,6012.31005859375,1165.8299560546875,21330.669921875,2391.280029296875,10744.0302734375
2010-03-19,3067.75,4872.2001953125,17578.23046875,10741.98046875,3925.43994140625,5650.10009765625,5982.43017578125,1159.9000244140625,21370.8203125,2374.409912109375,10824.7197265625
2010-03-22,3074.575927734375,4830.2001953125,17410.5703125,10785.8896484375,3928.0,5644.5,5987.5,1165.81005859375,20933.25,2395.39990234375,
2010-03-23,3053.125,4874.7998046875,17451.01953125,10888.830078125,3952.550048828125,5673.60009765625,6017.27001953125,1174.1700439453125,20987.779296875,2415.239990234375,10774.150390625
2010-03-24,3056.80810546875,4891.5,,10836.150390625,3949.81005859375,5677.89990234375,6039.0,1167.719970703125,21008.619140625,2398.760009765625,10815.0302734375
2010-03-25,3019.176025390625,4885.39990234375,17558.849609375,10841.2099609375,4000.47998046875,5727.7001953125,6132.9501953125,1165.72998046875,20778.55078125,2397.409912109375,10828.849609375
2010-03-26,3059.715087890625,4896.89990234375,17644.759765625,10850.3603515625,3988.929931640625,5703.0,6120.0498046875,1166.5899658203125,21053.109375,2395.1298828125,10996.3701171875
2010-03-29,3123.798095703125,4897.2998046875,17711.349609375,10895.8603515625,4000.659912109375,5710.7001953125,6156.85009765625,1173.219970703125,21237.4296875,2404.360107421875,10986.4697265625
2010-03-30,3128.468017578125,4916.7998046875,17590.169921875,10907.419921875,3987.409912109375,5672.2998046875,6142.4501953125,1173.27001953125,21374.7890625,2410.68994140625,11097.1396484375
2010-03-31,3109.10498046875,4875.5,17527.76953125,10856.6298828125,3974.010009765625,5679.60009765625,6153.5498046875,1169.4300537109375,21239.349609375,2397.9599609375,11089.9404296875
2010-04-01,3147.416015625,4907.7001953125,17692.619140625,10927.0703125,4034.22998046875,5744.89990234375,6235.56005859375,1178.0999755859375,21537.0,2402.580078125,11244.400390625
2010-04-02,3157.95703125,,,,,,,,,,11286.08984375
2010-04-05,,,17935.6796875,10973.5498046875,,,,1187.43994140625,,2429.530029296875,11339.2998046875
2010-04-06,3158.680908203125,4953.7001953125,17941.369140625,10969.990234375,4053.93994140625,5780.39990234375,6252.2099609375,1189.43994140625,,2436.81005859375,11282.3203125
2010-04-07,3148.221923828125,4960.89990234375,17970.01953125,10897.51953125,4026.969970703125,5762.10009765625,6222.41015625,1182.449951171875,21928.76953125,2431.159912109375,11292.830078125
2010-04-08,3118.708984375,4937.89990234375,17714.400390625,10927.0703125,3978.4599609375,5712.7001953125,6171.830078125,1186.43994140625,21867.0390625,2436.81005859375,11168.2001953125
2010-04-09,3145.346923828125,4948.10009765625,17933.140625,10997.349609375,4050.5400390625,5771.0,6249.7001953125,1194.3699951171875,22208.5,2454.050048828125,11204.33984375
2010-04-12,3129.262939453125,4984.2998046875,17853.0,11005.9697265625,4050.5,5777.7001953125,6250.68994140625,1196.47998046875,22138.169921875,2457.8701171875,11251.900390625
2010-04-13,3161.2509765625,4951.60009765625,17821.9609375,11019.419921875,4031.989990234375,5761.7001953125,6230.830078125,1197.300048828125,22103.529296875,2465.989990234375,11161.23046875
2010-04-14,3166.18310546875,4994.7001953125,,11123.1103515625,4057.699951171875,5796.2998046875,6278.39990234375,1210.6500244140625,22121.4296875,2504.860107421875,11204.900390625
2010-04-15,3164.966064453125,5001.89990234375,17639.259765625,11144.5703125,4065.64990234375,5825.0,6291.4501953125,1211.6700439453125,22157.8203125,2515.68994140625,11273.7900390625
2010-04-16,3130.302001953125,4984.7001953125,17591.1796875,11018.66015625,3986.6298828125,5744.0,6180.89990234375,1192.1300048828125,21865.259765625,2481.260009765625,11102.1796875
2010-04-19,2980.297119140625,4915.10009765625,17400.6796875,11092.0498046875,3970.469970703125,5727.89990234375,6162.43994140625,1197.52001953125,21405.169921875,2480.110107421875,10908.76953125
2010-04-20,2979.532958984375,4925.7998046875,17460.580078125,11117.0595703125,4026.64990234375,5783.7001953125,6264.22998046875,1207.1700439453125,21623.380859375,2500.31005859375,10900.6796875
2010-04-21,3033.278076171875,4954.2998046875,17472.560546875,11124.919921875,3977.669921875,5723.39990234375,6230.3798828125,1205.93994140625,21510.9296875,2504.610107421875,11090.0498046875
2010-04-22,2999.48388671875,4907.39990234375,17573.990234375,11134.2900390625,3924.64990234375,5665.2998046875,6168.72021484375,1208.6700439453125,21454.939453125,2519.070068359375,10949.08984375
2010-04-23,2983.537109375,4881.5,17694.19921875,11204.2802734375,3951.300048828125,5723.7001953125,6259.52978515625,1217.280029296875,21244.490234375,2530.14990234375,10914.4599609375
2010-04-26,2969.5029296875,,17745.279296875,11205.0302734375,3997.389892578125,5753.89990234375,6332.10009765625,1212.050048828125,21587.060546875,2522.949951171875,11165.7900390625
2010-04-27,2907.927978515625,4880.0,17690.619140625,10991.990234375,3844.60009765625,5603.5,6159.509765625,1183.7099609375,21261.7890625,2471.469970703125,11212.66015625
