time,open,high,low,close
1254448800,552.9699707,556.15997314,544.32000732,549.72998047
1254708000,553.21002197,556.54998779,543.20001221,549
1254794400,554.08001709,557.08001709,550.48999023,552.0300293
1254880800,560.78997803,569.58001709,560.2199707,566.41998291
1254967200,570.46002197,571.84002686,566.03997803,571.84002686
1255053600,575.39001465,582.52001953,575.39001465,581.98999023
1255312800,588.67999268,595.69000244,587.10998535,594.29998779
1255399200,594.20001221,597.40002441,589.48999023,589.89001465
1255485600,590.84002686,605.65002441,590.84002686,605.65002441
1255572000,612.02001953,626.10998535,612.02001953,617.38000488
1255658400,616.44000244,619.52001953,609.53997803,609.53997803
1255917600,609.0300293,612.01000977,605.79998779,607.10998535
1256004000,615.27001953,617.08001709,613.61999512,616.58001709
1256090400,617.14001465,622.26000977,614.72998047,618.47998047
1256176800,619.5300293,625.02001953,619.04998779,624.09997559
1256263200,626.14001465,633.21002197,615.67999268,615.67999268
1256522400,615.58001709,623.71002197,608.26000977,609.34002686
1256608800,602.60998535,602.60998535,590.71002197,596.7800293
1256695200,602.9699707,604.82000732,596.34002686,599.85998535
1256781600,588.22998047,588.22998047,575.72998047,581.48999023
1256868000,590.84997559,594.72998047,583.75,587.11999512
1257127200,565.84997559,565.84997559,559.97998047,561.71002197
1257213600,557.04998779,557.04998779,539.46002197,539.65002441
1257300000,537.82000732,550.28997803,533.22998047,537.5300293
1257386400,545.59002686,556.57000732,542.30999756,555.53997803
1257472800,565.70001221,569.71002197,554.88000488,554.88000488
1257732000,544.90997314,547.2800293,534.09002686,534.09002686
1257818400,534.7800293,535.71002197,520,524.40002441
1257904800,526.28997803,537.59002686,523.04998779,537.59002686
1257991200,541.35998535,550.7800293,540.58001709,545.97998047
1258077600,540.64001465,549.2199707,536.90002441,548.21002197
1258336800,550.9699707,554.53997803,545.70001221,545.70001221
1258423200,549.17999268,550.13000488,543.60998535,547.08001709
1258509600,547.16998291,553.83001709,543.96002197,553.83001709
1258596000,556.7199707,562.64001465,553.09997559,560.04998779
1258682400,558.48999023,562.2800293,554.21002197,555.84002686
1258941600,551.91998291,553.40002441,537.28997803,537.28997803
1259028000,535.59002686,538.78997803,526.92999268,527.13000488
1259114400,519.73999023,519.73999023,503.23999023,503.41000366
1259200800,495.6000061,495.6000061,479.38000488,482.6000061
1259287200,464.72000122,503.13000488,461.48001099,490.61999512
1259546400,494.11999512,506.66000366,494.11999512,504.11999512
1259632800,513.41998291,518.32000732,512.15002441,514.91998291
1259719200,507.47000122,514.83001709,499.14001465,499.14001465
1259805600,494.60998535,502.14001465,485.58999634,494.79998779
1259892000,499.86999512,499.98001099,493.41000366,494.95999146
1260151200,495.42999268,498.60998535,491.55999756,498.60998535
1260237600,494.64001465,495.95001221,485.55999756,488.47000122
1260324000,473.30999756,474.57998657,468.3999939,470.63000488
1260410400,474.54998779,474.54998779,458.6499939,458.72000122
1260496800,450.6000061,452.51998901,442.60998535,444.16000366
1260756000,449.25,460.79998779,447.89001465,458.39001465
1260842400,458.44000244,463.42001343,454.83999634,459.44000244
1260928800,452.17001343,452.17001343,440.20001221,442.1000061
1261015200,432.42001343,436.41000366,427.05999756,434.86999512
1261101600,440.88000488,449.54998779,440.88000488,443.33999634
1261360800,457.07998657,460.98999023,452.54998779,460.98999023
1261447200,468.02999878,470.92999268,462.86999512,465.23999023
1261533600,464.13000488,471.3500061,463.32998657,470.75
1261620000,469.20999146,479.13000488,464.39001465,479.13000488
1261706400,487.92001343,495.76000977,487.19000244,495.07998657
1261965600,490.67999268,499.01998901,485.76000977,492.57000732
1262052000,487.55999756,493.67001343,483.76000977,484.45001221
1262138400,484.25,495.35998535,483.07000732,495.35998535
1262224800,502.83999634,504.83999634,494.76998901,494.76998901
1262570400,501.73999023,517.04998779,501.73999023,517.04998779
1262656800,529.22998047,539.39001465,529.22998047,532.5300293
1262743200,529.4699707,538.84002686,526.36999512,534.46002197
1262829600,536.7800293,540.77001953,530.67999268,533.34002686
1262916000,540.95001221,544.48999023,520.90002441,520.90002441
1263175200,522.7800293,524.05999756,512.15002441,515.05999756
1263261600,511.23999023,516.75,498.30999756,498.30999756
1263348000,495.72000122,508.60998535,485.75,508.60998535
1263434400,516.44000244,517.7199707,509.25,512.33001709
1263520800,509.19000244,512.63000488,503.29000854,505.42001343
1263780000,499.07998657,499.23999023,487.13000488,487.13000488
1263866400,489.83999634,498.1000061,489.76998901,495.51000977
1263952800,498.73001099,499.1499939,489.5,489.5
1264039200,481.97000122,489.47000122,477.79998779,478.42001343
1264125600,474.1000061,481.69000244,471.8500061,477.58999634
1264384800,476.75,481.04000854,476.75,480.91000366
1264471200,490.11999512,497.8999939,490.11999512,497.8999939
1264557600,496.85998535,498.20001221,486.41000366,486.41000366
1264644000,484.67001343,487.80999756,481.47000122,481.76000977
1264730400,481.48999023,484.1499939,477.10998535,481.95999146
1264989600,482.92999268,486.95001221,481.83999634,486.95001221
1265076000,489.61999512,490.85998535,486.23999023,487.92999268
1265162400,490.32000732,495.8500061,490.11999512,495.48001099
1265248800,496.25,504.3500061,496.01998901,503.82998657
1265335200,495.67001343,501.05999756,491.04998779,493.04000854
1265594400,488.85998535,491.6499939,487.72000122,491.20001221
1265680800,486.97000122,488.76998901,482.38000488,482.89001465
1265767200,486.85998535,491.17001343,486.85998535,490.91000366
1265853600,492.98999023,499.97000122,491.85998535,499.94000244
1265940000,505.33999634,508.72000122,504.77999878,507
1266804000,513.19000244,513.19000244,507.92999268,510.01998901
1266890400,504.51998901,504.51998901,496.29000854,496.29000854
1266976800,492.89001465,494.8500061,490.20999146,494.58999634
1267063200,497.5,500.23999023,493.73001099,494.98999023
1267149600,494.30999756,496.91000366,491.97000122,496.91000366
1267408800,502.57000732,505.33999634,502.42999268,503.01000977
1267495200,503.98001099,505.58999634,500.07998657,501
1267581600,505.04000854,507.32000732,501.95999146,507.32000732
1267668000,510.92999268,516.77001953,510.92999268,511.91000366
1267754400,512.7199707,514.4699707,509.60998535,513.39001465
1268013600,517,522.83001709,517,521.11999512
1268100000,520.75,527.29998779,520.13000488,527.27001953
1268186400,526.2800293,529.63000488,522.80999756,525.66998291
1268272800,526.92999268,529.5300293,524.36999512,524.64001465
1268359200,528.90002441,531.51000977,526.70001221,531.51000977
1268618400,538.01000977,538.01000977,531.54998779,531.85998535
1268704800,526.05999756,529.54998779,516.08001709,516.08001709
1268791200,519.90002441,520.14001465,510.8500061,510.8500061
1268877600,515.23999023,519.72998047,510.47000122,519.72998047
1268964000,520.14001465,521.2199707,515.98999023,515.98999023
1269223200,515.71002197,517.78997803,511.57998657,511.57998657
1269309600,512.21002197,513.07000732,506.52999878,506.52999878
1269396000,511.04998779,512.86999512,508.75,512.11999512
1269482400,507.8500061,508.82998657,502.16000366,503.39001465
1269568800,505.51000977,506.3999939,501.64001465,505.29998779
1269828000,506.70001221,509.1499939,504.04998779,505.67001343
1269914400,504.70999146,506.29000854,500.72000122,500.72000122
1270000800,501.8500061,504,499.23999023,499.23999023
1270087200,500.30999756,508.91000366,499.98999023,508.17999268
1270173600,510.38000488,513.09997559,508.54000854,510.48001099
1270432800,514.16998291,516.27001953,513.45001221,514.78997803
1270519200,517.47998047,520.30999756,515.33001709,515.33001709
1270605600,516.21002197,517.26000977,512.53997803,515.82000732
1270692000,515.7199707,519.40002441,514.73999023,515.92999268
1270778400,517.05999756,519.60998535,516.40002441,517.41998291
1271037600,522.11999512,523.15997314,519.5,519.92999268
1271124000,521.03997803,523.22998047,517.97998047,517.97998047
1271210400,518.57000732,518.73999023,515.80999756,516.21002197
1271296800,521.01000977,521.48999023,518.39001465,521.48999023
1271383200,523.7199707,523.98999023,521.5300293,522.0300293
1271642400,521.34997559,521.69000244,516.73999023,516.73999023
1271728800,517.35998535,519.7199707,515.20001221,515.20001221
1271815200,517.53997803,520.20001221,517.53997803,519.70001221
1271901600,521.90002441,534.5300293,521.90002441,529.30999756
1272247200,531.69000244,535.40997314,531.21002197,531.21002197
1272333600,532.58001709,536.22998047,531.57000732,535.7199707
1272420000,536.08001709,539.83001709,536.08001709,539.20001221
1272506400,541.44000244,542.73999023,541.19000244,542.36999512
1272938400,544.52001953,550.60998535,544.52001953,549.11999512
1273024800,548.75,551.39001465,546.13000488,548.01000977
1273111200,549.19000244,551.40002441,547.02001953,549.51000977
1273197600,548.2199707,548.2199707,536.51000977,542.0300293
1273456800,541.48999023,541.48999023,532.40002441,534.38000488
1273543200,537.84997559,539.92999268,532.7199707,534.35998535
1273629600,527.52001953,527.52001953,519.59997559,519.59997559
1273716000,521.92999268,524.20001221,516.10998535,518.92999268
1273802400,522.91998291,523.47998047,519.97998047,520.7199707
1274061600,521.29998779,521.66998291,509.5,511.26998901
1274148000,510.48999023,510.75,505.13000488,508.29998779
1274234400,503.66000366,504.57000732,494.8999939,494.8999939
1274320800,481.79998779,503.54998779,481.67999268,503.54998779
1274407200,487.76000977,490.29998779,482.16000366,483.69000244
1274666400,485.1000061,489.61999512,479.55999756,486.19000244
1274752800,484.79998779,490.32998657,482.85998535,486.25
1274839200,491.45001221,492.69000244,488.29000854,492.69000244
1274925600,491.63000488,497.16000366,489.75,497.16000366
1275012000,509.47000122,513.34002686,506.42999268,512.98999023
1275271200,510.54000854,513.44000244,506.32000732,507.44000244
